Smiles,He,H2,O2,N2,CO2,CH4
*C*,1.201301191,1.238196072,0.531478917,-0.075720714,1.11058971,-0.103038758
*C*,0.51279213,0.845878826,0.37267541,-0.111719526,1.037426498,0.361121996
*C*,0.80320496,0.693273492,-0.665546249,-1.412269725,-0.130830268,-1.517954097
*C*,0.696046906,0.613918832,-0.327902142,-1.146430257,0.327438823,-1.337536391
*C*,0.247973266,0.794222079,-0.013228266,-0.606160636,0.774200426,-0.306994128
*C*,-0.43062609,-0.420640444,-1.384049948,-2.662225468,-1.283336451,-2.011536824
*C*,0.91145917,1.048755484,-0.101274818,-0.887567704,0.431195317,-1.04848164
*C*,0.267780922,0.052910396,-1.266000713,-2.111748592,-0.804151178,-2.049190492
*C*,0.436162647,0.846337112,0.359835482,-0.153662888,1,0.33243846
*C*,0.348917087,0.043235619,-1.301029996,-2.151356935,-0.920818754,-2.080836372
*C*,1.166171353,1.202073804,0.322219295,-0.263364299,0.974077112,-0.073784648
*C*,0.999081872,1.335671999,0.740362689,0.225344703,1.318723126,0.545486433
*C*,1.523758009,1.973665813,1.729227499,1.288933623,2.424881637,1.702634281
*C*,1.119488852,1.099440161,0.135604573,-0.57142576,0.86421433,-0.525539473
*C*,0.878214089,0.758496027,-0.215267343,-1.158839529,0.306524306,-1.432585306
*C*,2.776912787,3.150356812,2.740362689,2.278965416,3.552560992,2.576952441
*C*,0.560369772,1.118909635,0.698970004,0.162229225,1.176091259,0.520289255
*C*,0.66497281,0.917629136,0.432969291,-0.066006836,1.085699296,0.406652807
*C*,1.49163746,1.613797773,0.571009672,-0.229147988,1.331629718,0.033423755
*C*,1.200589939,1.272742062,0.361727836,-0.24422304,1.204119983,-0.023981805
*C*,1.200589939,1.272742062,0.361727836,-0.24422304,1.204119983,-0.023981805
*C*,0.801986794,1.322022005,-0.007810327,-0.826445822,0.536558443,-0.994365065
*C*,4.250420002,4.565847819,4.857332496,8.230448921,4.645422269,4.544068044
*C*,1.090353447,1.134631534,0.079181246,-0.777976677,0.653212514,-0.802864067
*C*,0.887054378,1.08790681,0.497946806,-0.004740833,1.120573931,0.318407514
*C*,0.643452676,0.852975815,-0.00400444,-0.581398492,0.755874856,-0.28565885
*C*,-0.075720714,0.28495125,-0.79127596,-1.360111968,0.049218023,-1.40619703
*C*,0.428670389,0.477121255,-0.203042708,-0.552841969,0.301029996,-0.568058487
